name,description,archetype,realized_pnl,closed_trades,win_rate_pct,profit_factor,max_drawdown_pct,total_costs,expectancy,sharpe_ratio,sortino_ratio,calmar_ratio,avg_win,avg_loss,payoff_ratio,avg_hold_bars,dominant_exit,dominant_exit_share_pct,component_count,combo_outperformance_score,combo_trade_overlap_pct,best_regime,best_unified_regime,best_regime_pnl,worst_regime,worst_unified_regime,worst_regime_pnl,dominant_regime_share_pct,regime_stability_score,regime_loss_ratio,regime_trade_count_by_label,regime_pnl_by_label,regime_pf_by_label,regime_win_rate_by_label,regime_filter_label,broker_swap_available,broker_swap_long,broker_swap_short,broker_preferred_carry_side,broker_carry_spread,mc_simulations,mc_pnl_median,mc_pnl_p05,mc_pnl_p95,mc_max_drawdown_pct_median,mc_max_drawdown_pct_p95,mc_loss_probability_pct,walk_forward_windows,walk_forward_pass_rate_pct,walk_forward_avg_validation_pnl,walk_forward_avg_test_pnl,walk_forward_avg_validation_pf,walk_forward_avg_test_pf,train_pnl,validation_pnl,validation_profit_factor,validation_closed_trades,test_pnl,test_profit_factor,test_closed_trades,trade_log_path,trade_analysis_path
stock_trend_breakout__5m_us,Stock trend breakout outside event blackout windows [5m_us],single,-0.31163,6,0.00000,0.00000,0.00031,0.30118,-0.05194,-47.72016,-0.99982,-1.00000,0.00000,-0.05194,0.00000,6.33333,time_stop,66.66667,1,0.00000,0.00000,trend_flat_vol_high,dislocated_chop,-0.31163,trend_flat_vol_high,dislocated_chop,-0.31163,100.00000,0.00000,999.00000,"{""trend_flat_vol_high"": 6}","{""trend_flat_vol_high"": -0.31162694514179945}","{""trend_flat_vol_high"": 0.0}","{""trend_flat_vol_high"": 0.0}",,1,-21.38000,0.89000,short,-22.27000,500,-0.31159,-0.31544,-0.30750,0.00031,0.00032,100.00000,3,0.00000,-0.03363,-0.10498,0.00000,0.00000,-0.15539,0.00000,0.00000,0,-0.10498,0.00000,2,artifacts\research\dxy\candidates\stock_trend_breakout__5m_us_5m_us_symbol_candidate_trades.csv,artifacts\research\dxy\candidates\stock_trend_breakout__5m_us_5m_us_symbol_candidate_analysis.txt
stock_news_momentum__5m_us,Stock post-news momentum on high-impact event days [5m_us],single,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,1,0.00000,0.00000,,,0.00000,,,0.00000,0.00000,0.00000,0.00000,{},{},{},{},,1,-21.38000,0.89000,short,-22.27000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\research\dxy\candidates\stock_news_momentum__5m_us_5m_us_symbol_candidate_trades.csv,artifacts\research\dxy\candidates\stock_news_momentum__5m_us_5m_us_symbol_candidate_analysis.txt
stock_event_open_drive_continuation__5m_us,Stock event-day continuation anchored to premarket and opening-drive structure [5m_us],single,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,1,0.00000,0.00000,,,0.00000,,,0.00000,0.00000,0.00000,0.00000,{},{},{},{},,1,-21.38000,0.89000,short,-22.27000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\research\dxy\candidates\stock_event_open_drive_continuation__5m_us_5m_us_symbol_candidate_trades.csv,artifacts\research\dxy\candidates\stock_event_open_drive_continuation__5m_us_5m_us_symbol_candidate_analysis.txt
stock_post_earnings_drift__5m_us,Stock post-earnings drift continuation after the open [5m_us],single,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,1,0.00000,0.00000,,,0.00000,,,0.00000,0.00000,0.00000,0.00000,{},{},{},{},,1,-21.38000,0.89000,short,-22.27000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\research\dxy\candidates\stock_post_earnings_drift__5m_us_5m_us_symbol_candidate_trades.csv,artifacts\research\dxy\candidates\stock_post_earnings_drift__5m_us_5m_us_symbol_candidate_analysis.txt
stock_gap_fade__5m_us,Stock gap fade after overextended opening move [5m_us],single,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,1,0.00000,0.00000,,,0.00000,,,0.00000,0.00000,0.00000,0.00000,{},{},{},{},,1,-21.38000,0.89000,short,-22.27000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\research\dxy\candidates\stock_gap_fade__5m_us_5m_us_symbol_candidate_trades.csv,artifacts\research\dxy\candidates\stock_gap_fade__5m_us_5m_us_symbol_candidate_analysis.txt
stock_gap_and_go__5m_us,Stock gap-and-go continuation after the open [5m_us],single,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,1,0.00000,0.00000,,,0.00000,,,0.00000,0.00000,0.00000,0.00000,{},{},{},{},,1,-21.38000,0.89000,short,-22.27000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\research\dxy\candidates\stock_gap_and_go__5m_us_5m_us_symbol_candidate_trades.csv,artifacts\research\dxy\candidates\stock_gap_and_go__5m_us_5m_us_symbol_candidate_analysis.txt
stock_gap_open_reclaim__5m_us,Stock gap continuation after reclaiming premarket structure [5m_us],single,-0.35683,7,0.00000,0.00000,0.00036,0.35139,-0.05098,-83.35133,-0.99994,-1.00000,0.00000,-0.05098,0.00000,4.57143,stop_loss,42.85714,1,0.00000,0.00000,trend_up_vol_low,orderly_trend,-0.05092,trend_flat_vol_low,compressed_range,-0.25383,71.42857,0.00000,999.00000,"{""trend_flat_vol_low"": 5, ""trend_flat_vol_mid"": 1, ""trend_up_vol_low"": 1}","{""trend_flat_vol_low"": -0.25383153600039954, ""trend_flat_vol_mid"": -0.05208068002639997, ""trend_up_vol_low"": -0.05091882500299985}","{""trend_flat_vol_low"": 0.0, ""trend_flat_vol_mid"": 0.0, ""trend_up_vol_low"": 0.0}","{""trend_flat_vol_low"": 0.0, ""trend_flat_vol_mid"": 0.0, ""trend_up_vol_low"": 0.0}",,1,-21.38000,0.89000,short,-22.27000,500,-0.35689,-0.35935,-0.35470,0.00036,0.00036,100.00000,3,0.00000,-0.06705,-0.03384,0.00000,0.00000,-0.20524,-0.05007,0.00000,1,-0.10152,0.00000,2,artifacts\research\dxy\candidates\stock_gap_open_reclaim__5m_us_5m_us_symbol_candidate_trades.csv,artifacts\research\dxy\candidates\stock_gap_open_reclaim__5m_us_5m_us_symbol_candidate_analysis.txt
stock_premarket_sweep_reversal__5m_us,Stock premarket sweep reversal after failed opening extension [5m_us],single,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,1,0.00000,0.00000,,,0.00000,,,0.00000,0.00000,0.00000,0.00000,{},{},{},{},,1,-21.38000,0.89000,short,-22.27000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\research\dxy\candidates\stock_premarket_sweep_reversal__5m_us_5m_us_symbol_candidate_trades.csv,artifacts\research\dxy\candidates\stock_premarket_sweep_reversal__5m_us_5m_us_symbol_candidate_analysis.txt
stock_power_hour_continuation__5m_us,Stock power-hour continuation into the close [5m_us],single,-0.75914,15,0.00000,0.00000,0.00076,0.75301,-0.05061,-44.68260,-0.99977,-1.00000,0.00000,-0.05061,0.00000,4.06667,trailing_stop,33.33333,1,0.00000,0.00000,trend_up_vol_mid,orderly_trend,-0.05178,trend_up_vol_low,orderly_trend,-0.70735,93.33333,0.00000,999.00000,"{""trend_up_vol_low"": 14, ""trend_up_vol_mid"": 1}","{""trend_up_vol_low"": -0.7073516099319981, ""trend_up_vol_mid"": -0.051783408020000005}","{""trend_up_vol_low"": 0.0, ""trend_up_vol_mid"": 0.0}","{""trend_up_vol_low"": 0.0, ""trend_up_vol_mid"": 0.0}",,1,-21.38000,0.89000,short,-22.27000,500,-0.75980,-0.76597,-0.75168,0.00076,0.00077,100.00000,3,0.00000,-0.04993,-0.05102,0.00000,0.00000,-0.30206,-0.04993,0.00000,1,-0.10180,0.00000,2,artifacts\research\dxy\candidates\stock_power_hour_continuation__5m_us_5m_us_symbol_candidate_trades.csv,artifacts\research\dxy\candidates\stock_power_hour_continuation__5m_us_5m_us_symbol_candidate_analysis.txt
momentum__5m_us,Momentum confirmation [5m_us],single,-0.56699,11,0.00000,0.00000,0.00057,0.55218,-0.05154,-37.26526,-0.99967,-1.00000,0.00000,-0.05154,0.00000,5.72727,time_stop,36.36364,1,0.00000,0.00000,trend_flat_vol_low,compressed_range,-0.04908,trend_up_vol_mid,orderly_trend,-0.20538,36.36364,0.00000,999.00000,"{""trend_flat_vol_high"": 3, ""trend_flat_vol_low"": 1, ""trend_flat_vol_mid"": 2, ""trend_up_vol_low"": 1, ""trend_up_vol_mid"": 4}","{""trend_flat_vol_high"": -0.15767860510859966, ""trend_flat_vol_low"": -0.04907936396599994, ""trend_flat_vol_mid"": -0.10324861403439933, ""trend_up_vol_low"": -0.051597332016799724, ""trend_up_vol_mid"": -0.2053841920459995}","{""trend_flat_vol_high"": 0.0, ""trend_flat_vol_low"": 0.0, ""trend_flat_vol_mid"": 0.0, ""trend_up_vol_low"": 0.0, ""trend_up_vol_mid"": 0.0}","{""trend_flat_vol_high"": 0.0, ""trend_flat_vol_low"": 0.0, ""trend_flat_vol_mid"": 0.0, ""trend_up_vol_low"": 0.0, ""trend_up_vol_mid"": 0.0}",,1,-21.38000,0.89000,short,-22.27000,500,-0.56733,-0.57467,-0.55907,0.00057,0.00057,100.00000,3,0.00000,-0.03440,-0.15537,0.00000,0.00000,-0.10430,0.00000,0.00000,0,-0.15537,0.00000,3,artifacts\research\dxy\candidates\momentum__5m_us_5m_us_symbol_candidate_trades.csv,artifacts\research\dxy\candidates\momentum__5m_us_5m_us_symbol_candidate_analysis.txt
mean_reversion__5m_us,Intraday mean reversion away from event windows [5m_us],single,-0.35789,7,0.00000,0.00000,0.00036,0.35138,-0.05113,-119.56408,-0.99997,-1.00000,0.00000,-0.05113,0.00000,1.85714,structure_exit,100.00000,1,0.00000,0.00000,trend_down_vol_high,trend_expansion,-0.05101,trend_flat_vol_high,dislocated_chop,-0.20502,57.14286,0.00000,999.00000,"{""trend_down_vol_high"": 1, ""trend_down_vol_mid"": 2, ""trend_flat_vol_high"": 4}","{""trend_down_vol_high"": -0.051005001004999925, ""trend_down_vol_mid"": -0.10186712700699979, ""trend_flat_vol_high"": -0.20502094403959925}","{""trend_down_vol_high"": 0.0, ""trend_down_vol_mid"": 0.0, ""trend_flat_vol_high"": 0.0}","{""trend_down_vol_high"": 0.0, ""trend_down_vol_mid"": 0.0, ""trend_flat_vol_high"": 0.0}",,1,-21.38000,0.89000,short,-22.27000,500,-0.35773,-0.35959,-0.35637,0.00036,0.00036,100.00000,3,0.00000,-0.03425,-0.01699,0.00000,0.00000,-0.30693,0.00000,0.00000,0,-0.05096,0.00000,1,artifacts\research\dxy\candidates\mean_reversion__5m_us_5m_us_symbol_candidate_trades.csv,artifacts\research\dxy\candidates\mean_reversion__5m_us_5m_us_symbol_candidate_analysis.txt
volatility_breakout__5m_us,Generic volatility breakout outside event blackout windows [5m_us],single,-2.49652,49,0.00000,0.00000,0.00250,2.45974,-0.05095,-49.50875,-0.99980,-1.00000,0.00000,-0.05095,0.00000,3.26531,stale_breakout,44.89796,1,0.00000,0.00000,trend_up_vol_high,trend_expansion,-0.05468,trend_flat_vol_low,compressed_range,-1.31717,53.06122,0.00000,999.00000,"{""trend_flat_vol_high"": 4, ""trend_flat_vol_low"": 26, ""trend_flat_vol_mid"": 7, ""trend_up_vol_high"": 1, ""trend_up_vol_low"": 9, ""trend_up_vol_mid"": 2}","{""trend_flat_vol_high"": -0.20789298909739967, ""trend_flat_vol_low"": -1.3171736439459965, ""trend_flat_vol_mid"": -0.35779413704899876, ""trend_up_vol_high"": -0.05468396007799982, ""trend_up_vol_low"": -0.45990896706059886, ""trend_up_vol_mid"": -0.09906590095059972}","{""trend_flat_vol_high"": 0.0, ""trend_flat_vol_low"": 0.0, ""trend_flat_vol_mid"": 0.0, ""trend_up_vol_high"": 0.0, ""trend_up_vol_low"": 0.0, ""trend_up_vol_mid"": 0.0}","{""trend_flat_vol_high"": 0.0, ""trend_flat_vol_low"": 0.0, ""trend_flat_vol_mid"": 0.0, ""trend_up_vol_high"": 0.0, ""trend_up_vol_low"": 0.0, ""trend_up_vol_mid"": 0.0}",,1,-21.38000,0.89000,short,-22.27000,500,-2.49621,-2.50707,-2.48529,0.00250,0.00251,100.00000,3,0.00000,-0.15252,-0.52710,0.00000,0.00000,-1.07046,-0.05110,0.00000,1,-0.76266,0.00000,15,artifacts\research\dxy\candidates\volatility_breakout__5m_us_5m_us_symbol_candidate_trades.csv,artifacts\research\dxy\candidates\volatility_breakout__5m_us_5m_us_symbol_candidate_analysis.txt
stock_trend_breakout__5m_us__exit_trend,Stock trend breakout outside event blackout windows [5m_us] with trend-runner exits,entry_exit_family,-0.31143,6,0.00000,0.00000,0.00031,0.30118,-0.05190,-48.04106,-0.99982,-1.00000,0.00000,-0.05190,0.00000,6.50000,time_stop,66.66667,1,0.00000,0.00000,trend_flat_vol_high,dislocated_chop,-0.31143,trend_flat_vol_high,dislocated_chop,-0.31143,100.00000,0.00000,999.00000,"{""trend_flat_vol_high"": 6}","{""trend_flat_vol_high"": -0.31142700513779936}","{""trend_flat_vol_high"": 0.0}","{""trend_flat_vol_high"": 0.0}",,1,-21.38000,0.89000,short,-22.27000,500,-0.31135,-0.31524,-0.30735,0.00031,0.00032,100.00000,3,0.00000,-0.03363,-0.10498,0.00000,0.00000,-0.15519,0.00000,0.00000,0,-0.10498,0.00000,2,artifacts\research\dxy\candidates\stock_trend_breakout__5m_us__exit_trend_5m_us_symbol_candidate_trades.csv,artifacts\research\dxy\candidates\stock_trend_breakout__5m_us__exit_trend_5m_us_symbol_candidate_analysis.txt
stock_trend_breakout__5m_us__exit_fastfail,Stock trend breakout outside event blackout windows [5m_us] with fast-fail exits,entry_exit_family,-0.31163,6,0.00000,0.00000,0.00031,0.30118,-0.05194,-47.72016,-0.99982,-1.00000,0.00000,-0.05194,0.00000,6.33333,time_stop,66.66667,1,0.00000,0.00000,trend_flat_vol_high,dislocated_chop,-0.31163,trend_flat_vol_high,dislocated_chop,-0.31163,100.00000,0.00000,999.00000,"{""trend_flat_vol_high"": 6}","{""trend_flat_vol_high"": -0.31162694514179945}","{""trend_flat_vol_high"": 0.0}","{""trend_flat_vol_high"": 0.0}",,1,-21.38000,0.89000,short,-22.27000,500,-0.31159,-0.31544,-0.30750,0.00031,0.00032,100.00000,3,0.00000,-0.03363,-0.10498,0.00000,0.00000,-0.15539,0.00000,0.00000,0,-0.10498,0.00000,2,artifacts\research\dxy\candidates\stock_trend_breakout__5m_us__exit_fastfail_5m_us_symbol_candidate_trades.csv,artifacts\research\dxy\candidates\stock_trend_breakout__5m_us__exit_fastfail_5m_us_symbol_candidate_analysis.txt
stock_news_momentum__5m_us__exit_trend,Stock post-news momentum on high-impact event days [5m_us] with trend-runner exits,entry_exit_family,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,1,0.00000,0.00000,,,0.00000,,,0.00000,0.00000,0.00000,0.00000,{},{},{},{},,1,-21.38000,0.89000,short,-22.27000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\research\dxy\candidates\stock_news_momentum__5m_us__exit_trend_5m_us_symbol_candidate_trades.csv,artifacts\research\dxy\candidates\stock_news_momentum__5m_us__exit_trend_5m_us_symbol_candidate_analysis.txt
stock_news_momentum__5m_us__exit_fastfail,Stock post-news momentum on high-impact event days [5m_us] with fast-fail exits,entry_exit_family,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,1,0.00000,0.00000,,,0.00000,,,0.00000,0.00000,0.00000,0.00000,{},{},{},{},,1,-21.38000,0.89000,short,-22.27000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\research\dxy\candidates\stock_news_momentum__5m_us__exit_fastfail_5m_us_symbol_candidate_trades.csv,artifacts\research\dxy\candidates\stock_news_momentum__5m_us__exit_fastfail_5m_us_symbol_candidate_analysis.txt
stock_event_open_drive_continuation__5m_us__exit_trend,Stock event-day continuation anchored to premarket and opening-drive structure [5m_us] with trend-runner exits,entry_exit_family,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,1,0.00000,0.00000,,,0.00000,,,0.00000,0.00000,0.00000,0.00000,{},{},{},{},,1,-21.38000,0.89000,short,-22.27000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\research\dxy\candidates\stock_event_open_drive_continuation__5m_us__exit_trend_5m_us_symbol_candidate_trades.csv,artifacts\research\dxy\candidates\stock_event_open_drive_continuation__5m_us__exit_trend_5m_us_symbol_candidate_analysis.txt
stock_event_open_drive_continuation__5m_us__exit_fastfail,Stock event-day continuation anchored to premarket and opening-drive structure [5m_us] with fast-fail exits,entry_exit_family,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,1,0.00000,0.00000,,,0.00000,,,0.00000,0.00000,0.00000,0.00000,{},{},{},{},,1,-21.38000,0.89000,short,-22.27000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\research\dxy\candidates\stock_event_open_drive_continuation__5m_us__exit_fastfail_5m_us_symbol_candidate_trades.csv,artifacts\research\dxy\candidates\stock_event_open_drive_continuation__5m_us__exit_fastfail_5m_us_symbol_candidate_analysis.txt
stock_post_earnings_drift__5m_us__exit_trend,Stock post-earnings drift continuation after the open [5m_us] with trend-runner exits,entry_exit_family,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,1,0.00000,0.00000,,,0.00000,,,0.00000,0.00000,0.00000,0.00000,{},{},{},{},,1,-21.38000,0.89000,short,-22.27000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\research\dxy\candidates\stock_post_earnings_drift__5m_us__exit_trend_5m_us_symbol_candidate_trades.csv,artifacts\research\dxy\candidates\stock_post_earnings_drift__5m_us__exit_trend_5m_us_symbol_candidate_analysis.txt
stock_post_earnings_drift__5m_us__exit_fastfail,Stock post-earnings drift continuation after the open [5m_us] with fast-fail exits,entry_exit_family,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,1,0.00000,0.00000,,,0.00000,,,0.00000,0.00000,0.00000,0.00000,{},{},{},{},,1,-21.38000,0.89000,short,-22.27000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\research\dxy\candidates\stock_post_earnings_drift__5m_us__exit_fastfail_5m_us_symbol_candidate_trades.csv,artifacts\research\dxy\candidates\stock_post_earnings_drift__5m_us__exit_fastfail_5m_us_symbol_candidate_analysis.txt
stock_gap_fade__5m_us__exit_trend,Stock gap fade after overextended opening move [5m_us] with trend-runner exits,entry_exit_family,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,1,0.00000,0.00000,,,0.00000,,,0.00000,0.00000,0.00000,0.00000,{},{},{},{},,1,-21.38000,0.89000,short,-22.27000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\research\dxy\candidates\stock_gap_fade__5m_us__exit_trend_5m_us_symbol_candidate_trades.csv,artifacts\research\dxy\candidates\stock_gap_fade__5m_us__exit_trend_5m_us_symbol_candidate_analysis.txt
stock_gap_fade__5m_us__exit_fastfail,Stock gap fade after overextended opening move [5m_us] with fast-fail exits,entry_exit_family,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,1,0.00000,0.00000,,,0.00000,,,0.00000,0.00000,0.00000,0.00000,{},{},{},{},,1,-21.38000,0.89000,short,-22.27000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\research\dxy\candidates\stock_gap_fade__5m_us__exit_fastfail_5m_us_symbol_candidate_trades.csv,artifacts\research\dxy\candidates\stock_gap_fade__5m_us__exit_fastfail_5m_us_symbol_candidate_analysis.txt
stock_gap_and_go__5m_us__exit_trend,Stock gap-and-go continuation after the open [5m_us] with trend-runner exits,entry_exit_family,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,1,0.00000,0.00000,,,0.00000,,,0.00000,0.00000,0.00000,0.00000,{},{},{},{},,1,-21.38000,0.89000,short,-22.27000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\research\dxy\candidates\stock_gap_and_go__5m_us__exit_trend_5m_us_symbol_candidate_trades.csv,artifacts\research\dxy\candidates\stock_gap_and_go__5m_us__exit_trend_5m_us_symbol_candidate_analysis.txt
stock_gap_and_go__5m_us__exit_fastfail,Stock gap-and-go continuation after the open [5m_us] with fast-fail exits,entry_exit_family,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,1,0.00000,0.00000,,,0.00000,,,0.00000,0.00000,0.00000,0.00000,{},{},{},{},,1,-21.38000,0.89000,short,-22.27000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\research\dxy\candidates\stock_gap_and_go__5m_us__exit_fastfail_5m_us_symbol_candidate_trades.csv,artifacts\research\dxy\candidates\stock_gap_and_go__5m_us__exit_fastfail_5m_us_symbol_candidate_analysis.txt
stock_gap_open_reclaim__5m_us__exit_trend,Stock gap continuation after reclaiming premarket structure [5m_us] with trend-runner exits,entry_exit_family,-0.35683,7,0.00000,0.00000,0.00036,0.35139,-0.05098,-83.35133,-0.99994,-1.00000,0.00000,-0.05098,0.00000,4.57143,stop_loss,42.85714,1,0.00000,0.00000,trend_up_vol_low,orderly_trend,-0.05092,trend_flat_vol_low,compressed_range,-0.25383,71.42857,0.00000,999.00000,"{""trend_flat_vol_low"": 5, ""trend_flat_vol_mid"": 1, ""trend_up_vol_low"": 1}","{""trend_flat_vol_low"": -0.25383153600039954, ""trend_flat_vol_mid"": -0.05208068002639997, ""trend_up_vol_low"": -0.05091882500299985}","{""trend_flat_vol_low"": 0.0, ""trend_flat_vol_mid"": 0.0, ""trend_up_vol_low"": 0.0}","{""trend_flat_vol_low"": 0.0, ""trend_flat_vol_mid"": 0.0, ""trend_up_vol_low"": 0.0}",,1,-21.38000,0.89000,short,-22.27000,500,-0.35689,-0.35935,-0.35470,0.00036,0.00036,100.00000,3,0.00000,-0.06705,-0.03384,0.00000,0.00000,-0.20524,-0.05007,0.00000,1,-0.10152,0.00000,2,artifacts\research\dxy\candidates\stock_gap_open_reclaim__5m_us__exit_trend_5m_us_symbol_candidate_trades.csv,artifacts\research\dxy\candidates\stock_gap_open_reclaim__5m_us__exit_trend_5m_us_symbol_candidate_analysis.txt
stock_gap_open_reclaim__5m_us__exit_fastfail,Stock gap continuation after reclaiming premarket structure [5m_us] with fast-fail exits,entry_exit_family,-0.35683,7,0.00000,0.00000,0.00036,0.35139,-0.05098,-83.35133,-0.99994,-1.00000,0.00000,-0.05098,0.00000,4.57143,stop_loss,42.85714,1,0.00000,0.00000,trend_up_vol_low,orderly_trend,-0.05092,trend_flat_vol_low,compressed_range,-0.25383,71.42857,0.00000,999.00000,"{""trend_flat_vol_low"": 5, ""trend_flat_vol_mid"": 1, ""trend_up_vol_low"": 1}","{""trend_flat_vol_low"": -0.25383153600039954, ""trend_flat_vol_mid"": -0.05208068002639997, ""trend_up_vol_low"": -0.05091882500299985}","{""trend_flat_vol_low"": 0.0, ""trend_flat_vol_mid"": 0.0, ""trend_up_vol_low"": 0.0}","{""trend_flat_vol_low"": 0.0, ""trend_flat_vol_mid"": 0.0, ""trend_up_vol_low"": 0.0}",,1,-21.38000,0.89000,short,-22.27000,500,-0.35689,-0.35935,-0.35470,0.00036,0.00036,100.00000,3,0.00000,-0.06705,-0.03384,0.00000,0.00000,-0.20524,-0.05007,0.00000,1,-0.10152,0.00000,2,artifacts\research\dxy\candidates\stock_gap_open_reclaim__5m_us__exit_fastfail_5m_us_symbol_candidate_trades.csv,artifacts\research\dxy\candidates\stock_gap_open_reclaim__5m_us__exit_fastfail_5m_us_symbol_candidate_analysis.txt
stock_premarket_sweep_reversal__5m_us__exit_trend,Stock premarket sweep reversal after failed opening extension [5m_us] with trend-runner exits,entry_exit_family,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,1,0.00000,0.00000,,,0.00000,,,0.00000,0.00000,0.00000,0.00000,{},{},{},{},,1,-21.38000,0.89000,short,-22.27000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\research\dxy\candidates\stock_premarket_sweep_reversal__5m_us__exit_trend_5m_us_symbol_candidate_trades.csv,artifacts\research\dxy\candidates\stock_premarket_sweep_reversal__5m_us__exit_trend_5m_us_symbol_candidate_analysis.txt
